,id,text
39,asv,"And out of the ground made Jehovah God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of the knowledge of good and evil."
40,asv,"And a river went out of Eden to water the garden; and from thence it was parted, and became four heads."
41,asv,"The name of the first is Pishon: that is it which compasseth the whole land of Havilah, where there is gold;"
42,asv,and the gold of that land is good: there is bdellium and the onyx stone.
43,asv,And the name of the second river is Gihon: the same is it that compasseth the whole land of Cush.
44,asv,And the name of the third river is Hiddekel: that is it which goeth in front of Assyria. And the fourth river is the Euphrates.
45,asv,"And Jehovah God took the man, and put him into the garden of Eden to dress it and to keep it."
46,asv,"And Jehovah God commanded the man, saying, Of every tree of the garden thou mayest freely eat:"
47,asv,"but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die."
48,asv,"And Jehovah God said, It is not good that the man should be alone; I will make him a help meet for him."
49,asv,"And out of the ground Jehovah God formed every beast of the field, and every bird of the heavens; and brought them unto the man to see what he would call them: and whatsoever the man called every living creature, that was the name thereof."
50,asv,"And the man gave names to all cattle, and to the birds of the heavens, and to every beast of the field; but for man there was not found a help meet for him."
51,asv,"And Jehovah God caused a deep sleep to fall upon the man, and he slept; and he took one of his ribs, and closed up the flesh instead thereof:"
52,asv,"and the rib, which Jehovah God had taken from the man, made he a woman, and brought her unto the man."
53,asv,"And the man said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man."
54,asv,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
55,asv,"And they were both naked, the man and his wife, and were not ashamed."
56,asv,"Now the serpent was more subtle than any beast of the field which Jehovah God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of any tree of the garden?"
57,asv,"And the woman said unto the serpent, Of the fruit of the trees of the garden we may eat:"
58,asv,"but of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die."
59,asv,"And the serpent said unto the woman, Ye shall not surely die:"
60,asv,"for God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as God, knowing good and evil."
61,asv,"And when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of the fruit thereof, and did eat; and she gave also unto her husband with her, and he did eat."
62,asv,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig-leaves together, and made themselves aprons."
63,asv,And they heard the voice of Jehovah God walking in the garden in the cool of the day: and the man and his wife hid themselves from the presence of Jehovah God amongst the trees of the garden.
64,asv,"And Jehovah God called unto the man, and said unto him, Where art thou?"
65,asv,"And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself."
66,asv,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?"
67,asv,"And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat."
68,asv,"And Jehovah God said unto the woman, What is this thou hast done? And the woman said, The serpent beguiled me, and I did eat."
69,asv,"And Jehovah God said unto the serpent, Because thou hast done this, cursed art thou above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:"
70,asv,"and I will put enmity between thee and the woman, and between thy seed and her seed: he shall bruise thy head, and thou shalt bruise his heel."
71,asv,"Unto the woman he said, I will greatly multiply thy pain and thy conception; in pain thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee."
72,asv,"And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in toil shalt thou eat of it all the days of thy life;"
73,asv,thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;
74,asv,"in the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return."
75,asv,And the man called his wife's name Eve; because she was the mother of all living.
76,asv,"And Jehovah God made for Adam and for his wife coats of skins, and clothed them."
77,asv,"And Jehovah God said, Behold, the man is become as one of us, to know good and evil; and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever-"
78,asv,"therefore Jehovah God sent him forth from the garden of Eden, to till the ground from whence he was taken."
79,asv,"So he drove out the man; and he placed at the east of the garden of Eden the Cherubim, and the flame of a sword which turned every way, to keep the way of the tree of life."
80,asv,"And the man knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man with `the help of' Jehovah."
81,asv,"And again she bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground."
82,asv,"And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto Jehovah."
83,asv,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And Jehovah had respect unto Abel and to his offering:"
84,asv,"but unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell."
85,asv,"And Jehovah said unto Cain, Why art thou wroth? and why is thy countenance fallen?"
86,asv,"If thou doest well, shall it not be lifted up? and if thou doest not well, sin coucheth at the door: and unto thee shall be its desire, but do thou rule over it."
87,asv,"And Cain told Abel his brother. And it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him."
88,asv,"And Jehovah said unto Cain, Where is Abel thy brother? And he said, I know not: am I my brother's keeper?"
89,asv,"And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground."
90,asv,"And now cursed art thou from the ground, which hath opened its mouth to receive thy brother's blood from thy hand;"
91,asv,"when thou tillest the ground, it shall not henceforth yield unto thee its strength; a fugitive and a wanderer shalt thou be in the earth."
92,asv,"And Cain said unto Jehovah, My punishment is greater than I can bear."
93,asv,"Behold, thou hast driven me out this day from the face of the ground; and from thy face shall I be hid; and I shall be a fugitive and a wanderer in the earth; and it will come to pass, that whosoever findeth me will slay me."
94,asv,"And Jehovah said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And Jehovah appointed a sign for Cain, lest any finding him should smite him."
95,asv,"And Cain went out from the presence of Jehovah, and dwelt in the land of Nod, on the east of Eden."
96,asv,"And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch."
97,asv,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methushael; and Methushael begat Lamech.
98,asv,"And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah."
99,asv,And Adah bare Jabal: he was the father of such as dwell in tents and `have' cattle.
100,asv,And his brother's name was Jubal: he was the father of all such as handle the harp and pipe.
101,asv,"And Zillah, she also bare Tubal-cain, the forger of every cutting instrument of brass and iron: and the sister of Tubal-cain was Naamah."
102,asv,"And Lamech said unto his wives: Adah and Zillah, hear my voice; Ye wives of Lamech, hearken unto my speech: For I have slain a man for wounding me, And a young man for bruising me:"
103,asv,"If Cain shall be avenged sevenfold, Truly Lamech seventy and sevenfold."
104,asv,"And Adam knew his wife again; and she bare a son, and called his name Seth. For, `said she', God hath appointed me another seed instead of Abel; for Cain slew him."
105,asv,"And to Seth, to him also there was born a son; and he called his name Enosh. Then began men to call upon the name of Jehovah."
106,asv,"This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;"
107,asv,"male and female created he them, and blessed them, and called their name Adam, in the day when they were created."
108,asv,"And Adam lived a hundred and thirty years, and begat `a son' in his own likeness, after his image; and called his name Seth:"
109,asv,and the days of Adam after he begat Seth were eight hundred years: and he begat sons and daughters.
110,asv,And all the days that Adam lived were nine hundred and thirty years: and he died.
111,asv,"And Seth lived a hundred and five years, and begat Enosh:"
112,asv,"and Seth lived after he begat Enosh eight hundred and seven years, and begat sons and daughters:"
113,asv,and all the days of Seth were nine hundred and twelve years: and he died.
114,asv,"And Enosh lived ninety years, and begat Kenan."
115,asv,"and Enosh lived after he begat Kenan eight hundred and fifteen years, and begat sons and daughters:"
116,asv,and all the days of Enosh were nine hundred and five years: and he died.
117,asv,"And Kenan lived seventy years, and begat Mahalalel:"
118,asv,"and Kenan lived after he begat Mahalalel eight hundred and forty years, and begat sons and daughters:"
119,asv,and all the days of Kenan were nine hundred and ten years: and he died.
120,asv,"And Mahalalel lived sixty and five years, and begat Jared:"
121,asv,"And Mahalalel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:"
122,asv,and all the days of Mahalalel were eight hundred ninety and five years: and he died.
123,asv,"And Jared lived a hundred sixty and two years, and begat Enoch:"
124,asv,"and Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:"
125,asv,And all the days of Jared were nine hundred sixty and two years: and he died.
126,asv,"And Enoch lived sixty and five years, and begat Methuselah:"
127,asv,"and Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:"
128,asv,and all the days of Enoch were three hundred sixty and five years:
129,asv,and Enoch walked with God: and he was not; for God took him.
130,asv,"And Methuselah lived a hundred eighty and seven years, and begat Lamech:"
131,asv,"and Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters."
132,asv,And all the days of Methuselah were nine hundred sixty and nine years: and he died.
133,asv,"And Lamech lived a hundred eighty and two years, and begat a son:"
134,asv,"and he called his name Noah, saying, This same shall comfort us in our work and in the toil of our hands, `which cometh' because of the ground which Jehovah hath cursed."
135,asv,"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:"
136,asv,And all the days of Lamech were seven hundred seventy and seven years: and he died.
137,asv,"And Noah was five hundred years old: And Noah begat Shem, Ham, and Japheth."
138,asv,"And it came to pass, when men began to multiply on the face of the ground, and daughters were born unto them,"
139,asv,that the sons of God saw the daughters of men that they were fair; and they took them wives of all that they chose.
140,asv,"And Jehovah said, My spirit shall not strive with man for ever, for that he also is flesh: yet shall his days be a hundred and twenty years."
141,asv,"The Nephilim were in the earth in those days, and also after that, when the sons of God came unto the daughters of men, and they bare children to them: the same were the mighty men that were of old, the men of renown."
142,asv,"And Jehovah saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually."
143,asv,"And it repented Jehovah that he had made man on the earth, and it grieved him at his heart."
144,asv,"And Jehovah said, I will destroy man whom I have created from the face of the ground; both man, and beast, and creeping things, and birds of the heavens; for it repenteth me that I have made them."
145,asv,But Noah found favor in the eyes of Jehovah.
146,asv,"These are the generations of Noah. Noah was a righteous man, `and' perfect in his generations: Noah walked with God."
147,asv,"And Noah begat three sons, Shem, Ham, and Japheth."
148,asv,"And the earth was corrupt before God, and the earth was filled with violence."
149,asv,"And God saw the earth, and, behold, it was corrupt; for all flesh had corrupted their way upon the earth."
150,asv,"And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth."
151,asv,"Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch."
152,asv,"And this is how thou shalt make it: the length of the ark three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits."
153,asv,"A light shalt thou make to the ark, and to a cubit shalt thou finish it upward; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it."
154,asv,"And I, behold, I do bring the flood of waters upon this earth, to destroy all flesh, wherein is the breath of life, from under heaven; everything that is in the earth shall die."
155,asv,"But I will establish my covenant with thee; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee."
156,asv,"And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female."
157,asv,"Of the birds after their kind, and of the cattle after their kind, of every creeping thing of the ground after its kind, two of every sort shall come unto thee, to keep them alive."
158,asv,"And take thou unto thee of all food that is eaten, and gather it to thee; and it shall be for food for thee, and for them."
159,asv,"Thus did Noah; according to all that God commanded him, so did he."
160,asv,"And Jehovah said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation."
161,asv,"Of every clean beast thou shalt take to thee seven and seven, the male and his female; and of the beasts that are not clean two, the male and his female:"
162,asv,"of the birds also of the heavens, seven and seven, male and female, to keep seed alive upon the face of all the earth."
163,asv,"For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living thing that I have made will I destroy from off the face of the ground."
164,asv,And Noah did according unto all that Jehovah commanded him.
165,asv,And Noah was six hundred years old when the flood of waters was upon the earth.
166,asv,"And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood."
167,asv,"Of clean beasts, and of beasts that are not clean, and of birds, and of everything that creepeth upon the ground,"
168,asv,"there went in two and two unto Noah into the ark, male and female, as God commanded Noah."
169,asv,"And it came to pass after the seven days, that the waters of the flood were upon the earth."
170,asv,"In the six hundredth year of Noah's life, in the second month, on the seventeenth day of the month, on the same day were all the fountains of the great deep broken up, and the windows of heaven were opened."
171,asv,And the rain was upon the earth forty days and forty nights.
172,asv,"In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark;"
173,asv,"they, and every beast after its kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after its kind, and every bird after its kind, every bird of every sort."
174,asv,"And they went in unto Noah into the ark, two and two of all flesh wherein is the breath of life."
175,asv,"And they that went in, went in male and female of all flesh, as God commanded him: and Jehovah shut him in."
176,asv,"And the flood was forty days upon the earth; and the waters increased, and bare up the ark, and it was lifted up above the earth."
177,asv,"And the waters prevailed, and increased greatly upon the earth; and the ark went upon the face of the waters."
178,asv,And the waters prevailed exceedingly upon the earth; and all the high mountains that were under the whole heaven were covered.
179,asv,Fifteen cubits upward did the waters prevail; and the mountains were covered.
180,asv,"And all flesh died that moved upon the earth, both birds, and cattle, and beasts, and every creeping thing that creepeth upon the earth, and every man:"
181,asv,"all in whose nostrils was the breath of the spirit of life, of all that was on the dry land, died."
182,asv,"And every living thing was destroyed that was upon the face of the ground, both man, and cattle, and creeping things, and birds of the heavens; and they were destroyed from the earth: and Noah only was left, and they that were with him in the ark."
183,asv,And the waters prevailed upon the earth a hundred and fifty days.
184,asv,"And God remembered Noah, and all the beasts, and all the cattle that were with him in the ark: and God made a wind to pass over the earth, and the waters assuaged;"
185,asv,"the fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained;"
186,asv,and the waters returned from off the earth continually: and after the end of a hundred and fifty days the waters decreased.
187,asv,"And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat."
188,asv,"And the waters decreased continually until the tenth month: in the tenth month, on the first day of the month, were the tops of the mountains seen."
189,asv,"And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made:"
190,asv,"and he sent forth a raven, and it went forth to and fro, until the waters were dried up from off the earth."
191,asv,"And he sent forth a dove from him, to see if the waters were abated from off the face of the ground;"
192,asv,"but the dove found no rest for the sole of her foot, and she returned unto him to the ark; for the waters were on the face of the whole earth: and he put forth his hand, and took her, and brought her in unto him into the ark."
193,asv,And he stayed yet other seven days; and again he sent forth the dove out of the ark;
194,asv,"and the dove came in to him at eventide; and, lo, in her mouth an olive-leaf plucked off: so Noah knew that the waters were abated from off the earth."
195,asv,"And he stayed yet other seven days, and sent forth the dove; and she returned not again unto him any more."
196,asv,"And it came to pass in the six hundred and first year, in the first month, the first day of the month, the waters were dried up from off the earth: and Noah removed the covering of the ark, and looked, and, behold, the face of the ground was dried."
197,asv,"And in the second month, on the seven and twentieth day of the month, was the earth dry."
198,asv,"And God spake unto Noah, saying,"
199,asv,"Go forth from the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee."
200,asv,"Bring forth with thee every living thing that is with thee of all flesh, both birds, and cattle, and every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth."
201,asv,"And Noah went forth, and his sons, and his wife, and his sons' wives with him:"
202,asv,"every beast, every creeping thing, and every bird, whatsoever moveth upon the earth, after their families, went forth out of the ark."
203,asv,"And Noah builded an altar unto Jehovah, and took of every clean beast, and of every clean bird, and offered burnt-offerings on the altar."
204,asv,"And Jehovah smelled the sweet savor; and Jehovah said in his heart, I will not again curse the ground any more for man's sake, for that the imagination of man's heart is evil from his youth; neither will I again smite any more everything living, as I have done."
205,asv,"While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease."
206,asv,"And God blessed Noah and his sons, and said unto them, Be fruitful, and multiply, and replenish the earth."
207,asv,"And the fear of you and the dread of you shall be upon every beast of the earth, and upon every bird of the heavens; With all wherewith the ground teemeth, and all the fishes of the sea, into your hand are they delivered."
208,asv,Every moving thing that liveth shall be food for you; As the green herb have I given you all.
209,asv,"But flesh with the life thereof, `which is' the blood thereof, shall ye not eat."
210,asv,"And surely your blood, `the blood' of your lives, will I require; At the hand of every beast will I require it. And at the hand of man, even at the hand of every man's brother, will I require the life of man."
211,asv,"Whoso sheddeth man's blood, by man shall his blood be shed: For in the image of God made he man."
212,asv,"And you, be ye fruitful, and multiply; Bring forth abundantly in the earth, and multiply therein."
213,asv,"And God spake unto Noah, and to his sons with him, saying,"
214,asv,"And I, behold, I establish my covenant with you, and with your seed after you;"
215,asv,"and with every living creature that is with you, the birds, the cattle, and every beast of the earth with you. Of all that go out of the ark, even every beast of the earth."
216,asv,And I will establish my covenant with you; neither shall all flesh be cut off any more by the waters of the flood; neither shall there any more be a flood to destroy the earth.
217,asv,"And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:"
218,asv,"I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth."
219,asv,"And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud,"
220,asv,"and I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh."
221,asv,"And the bow shall be in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth."
222,asv,"And God said unto Noah, This is the token of the covenant which I have established between me and all flesh that is upon the earth."
223,asv,"And the sons of Noah, that went forth from the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan."
224,asv,These three were the sons of Noah: and of these was the whole earth overspread.
225,asv,"And Noah began to be a husbandman, and planted a vineyard:"
226,asv,"and he drank of the wine, and was drunken. And he was uncovered within his tent."
227,asv,"And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without."
228,asv,"And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father. And their faces were backward, and they saw not their father's nakedness."
229,asv,"And Noah awoke from his wine, and knew what his youngest son had done unto him."
230,asv,"And he said, Cursed be Canaan; A servant of servants shall he be unto his brethren."
231,asv,"And he said, Blessed be Jehovah, the God of Shem; And let Canaan be his servant."
232,asv,"God enlarge Japheth, And let him dwell in the tents of Shem; And let Canaan be his servant."
233,asv,And Noah lived after the flood three hundred and fifty years.
234,asv,And all the days of Noah were nine hundred and fifty years: And he died.
235,asv,"Now these are the generations of the sons of Noah, `namely', of Shem, Ham, and Japheth: and unto them were sons born after the flood."
236,asv,"The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras."
237,asv,"And the sons of Gomer: Ashkenaz, and Riphath, and Togarmah."
238,asv,"And the sons of Javan: Elishah, and Tarshish, Kittim, and Dodanim."
239,asv,"Of these were the isles of the nations divided in their lands, every one after his tongue, after their families, in their nations."
240,asv,"And the sons of Ham: Cush, and Mizraim, and Put, and Canaan."
241,asv,"And the sons of Cush: Seba, and Havilah, and Sabtah, and Raamah, and Sabteca; and the sons of Raamah: Sheba, and Dedan."
242,asv,And Cush begat Nimrod: he began to be a mighty one in the earth.
243,asv,"He was a mighty hunter before Jehovah: wherefore it is said, Like Nimrod a mighty hunter before Jehovah."
244,asv,"And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar."
245,asv,"Out of that land he went forth into Assyria, and builded Nineveh, and Rehoboth-ir, and Calah,"
246,asv,and Resen between Nineveh and Calah (the same is the great city).
247,asv,"And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,"
248,asv,"and Pathrusim, and Casluhim (whence went forth the Philistines), and Caphtorim."
249,asv,"And Canaan begat Sidon his first-born, and Heth,"
250,asv,"and the Jebusite, and the Amorite, and the Girgashite,"
251,asv,"and the Hivite, and the Arkite, and the Sinite,"
252,asv,"and the Arvadite, and the Zemarite, and the Hamathite: and afterward were the families of the Canaanite spread abroad."
253,asv,"And the border of the Canaanite was from Sidon, as thou goest toward Gerar, unto Gaza; as thou goest toward Sodom and Gomorrah and Admah and Zeboiim, unto Lasha."
254,asv,"These are the sons of Ham, after their families, after their tongues, in their lands, in their nations."
255,asv,"And unto Shem, the father of all the children of Eber, the elder brother of Japheth, to him also were children born."
256,asv,"The sons of Shem: Elam, and Asshur, and Arpachshad, and Lud, and Aram."
257,asv,"And the sons of Aram: Uz, and Hul, and Gether, and Mash."
258,asv,And Arpachshad begat Shelah; and Shelah begat Eber.
259,asv,And unto Eber were born two sons: The name of the one was Peleg. For in his days was the earth divided. And his brother's name was Joktan.
260,asv,"And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,"
261,asv,"and Hadoram, and Uzal, and Diklah,"
262,asv,"and Obal, and Abimael, and Sheba,"
263,asv,"and Ophir, and Havilah, and Jobab: all these were the sons of Joktan."
264,asv,"And their dwelling was from Mesha, as thou goest toward Sephar, the mountain of the east."
265,asv,"These are the sons of Shem, after their families, after their tongues, in their lands, after their nations."
266,asv,"These are the families of the sons of Noah, after their generations, in their nations: and of these were the nations divided in the earth after the flood."
267,asv,And the whole earth was of one language and of one speech.
268,asv,"And it came to pass, as they journeyed east, that they found a plain in the land of Shinar; and they dwelt there."
269,asv,"And they said one to another, Come, let us make brick, and burn them thoroughly. And they had brick for stone, and slime had they for mortar."
270,asv,"And they said, Come, let us build us a city, and a tower, whose top `may reach' unto heaven, and let us make us a name; lest we be scattered abroad upon the face of the whole earth."
271,asv,"And Jehovah came down to see the city and the tower, which the children of men builded."
272,asv,"And Jehovah said, Behold, they are one people, and they have all one language; and this is what they begin to do: and now nothing will be withholden from them, which they purpose to do."
273,asv,"Come, let us go down, and there confound their language, that they may not understand one another's speech."
274,asv,So Jehovah scattered them abroad from thence upon the face of all the earth: and they left off building the city.
275,asv,Therefore was the name of it called Babel; because Jehovah did there confound the language of all the earth: and from thence did Jehovah scatter them abroad upon the face of all the earth.
276,asv,"These are the generations of Shem. Shem was a hundred years old, and begat Arpachshad two years after the flood."
277,asv,"and Shem lived after he begat Arpachshad five hundred years, and begat sons and daughters."
278,asv,"And Arpachshad lived five and thirty years, and begat Shelah."
279,asv,"and Arpachshad lived after he begat Shelah four hundred and three years, and begat sons and daughters."
280,asv,"And Shelah lived thirty years, and begat Eber:"
281,asv,"and Shelah lived after he begat Eber four hundred and three years, and begat sons and daughters."
282,asv,"And Eber lived four and thirty years, and begat Peleg:"
283,asv,"and Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters."
284,asv,"And Peleg lived thirty years, and begat Reu:"
285,asv,"and Peleg lived after he begat Reu two hundred and nine years, and begat sons and daughters."
286,asv,"And Reu lived two and thirty years, and begat Serug:"
287,asv,"and Reu lived after he begat Serug two hundred and seven years, and begat sons and daughters."
288,asv,"And Serug lived thirty years, and begat Nahor:"
289,asv,"and Serug lived after he begat Nahor two hundred years, and begat sons and daughters."
290,asv,"And Nahor lived nine and twenty years, and begat Terah:"
291,asv,"and Nahor lived after he begat Terah a hundred and nineteen years, and begat sons and daughters."
292,asv,"And Terah lived seventy years, and begat Abram, Nahor, and Haran."
293,asv,"Now these are the generations of Terah. Terah begat Abram, Nahor, and Haran. And Haran begat Lot."
294,asv,"And Haran died before his father Terah in the land of his nativity, in Ur of the Chaldees."
295,asv,"And Abram and Nahor took them wives: The name of Abram's wife was Sarai; and the name of Nahor's wife, Milcah, the daughter of Haran, the father of Milcah, and the father of Iscah."
296,asv,And Sarai was barren; She had no child.
297,asv,"And Terah took Abram his son, and Lot the son of Haran, his son's son, and Sarai his daughter-in-law, his son Abram's wife; and they went forth with them from Ur of the Chaldees, to go into the land of Canaan; and they came unto Haran, and dwelt there."
298,asv,And the days of Terah were two hundred and five years: and Terah died in Haran.
299,asv,"Now Jehovah said unto Abram, Get thee out of thy country, and from thy kindred, and from thy father's house, unto the land that I will show thee:"
300,asv,"and I will make of thee a great nation, and I will bless thee, and make they name great; and be thou a blessing;"
301,asv,"and I will bless them that bless thee, and him that curseth thee will I curse: and in thee shall all the families of the earth be blessed."
